username, created_at, lng, lat, text
DonnellWrites, Thu Jun 11 08:40:13 +0000 2020, -87.732013, 41.833585, I can’t get to sleep / I think about the implications / Of diving in too deep / And possibly the complicationsEsp… https://t.co/wlDciTT8TN 
gandolf_s, Thu Jun 11 08:40:13 +0000 2020, -84.433106, 33.767195, @Bfds777 I know I can’t stand it😹😹 
ricchfever, Thu Jun 11 08:40:13 +0000 2020, -84.315070, 33.874544, So.... is that Michael nigga ok? y’all ran him outta here 
GloriaC7384, Thu Jun 11 08:40:14 +0000 2020, -87.263022, 33.858303, Soon you will 
JanaeBrii, Thu Jun 11 08:40:14 +0000 2020, -118.304663, 33.945234, this funny😂😂😂 
crawfordsjonah, Thu Jun 11 08:40:14 +0000 2020, -86.145320, 39.583039, sad 
Names_Quent, Thu Jun 11 08:40:14 +0000 2020, -75.268182, 39.907056, @DaniLeigh @ImQueenAlona Ladies 🤷🏾‍♂️ https://t.co/pkX96uUqEZ 
mybesday, Thu Jun 11 08:40:15 +0000 2020, -73.126209, 41.207828, There is no time like the present to understand that God is the answer to all things always Pray and Believe in Him… https://t.co/HJM6DWt0Op 
RachaelAHancock, Thu Jun 11 08:40:16 +0000 2020, -79.272570, 43.629311, @SethAbramson He STILL doesnt know you can't use American troops on American soil against Amerocam citizens. 
MusicDivPro, Thu Jun 11 08:40:16 +0000 2020, -89.921450, 41.239029, @TessWilliams_69 👏👏👏👏👏🤘🤘🤘🤘🤘 
Kung_Fu_Kaylee, Thu Jun 11 08:40:17 +0000 2020, -119.025163, 35.346902, @kingbrujx We really out here deserving better 😔 
layah_danae, Thu Jun 11 08:40:17 +0000 2020, -90.011008, 29.982601, @pprincessbriii love you sis💞 
FletcherVaughn, Thu Jun 11 08:40:17 +0000 2020, -84.433106, 33.767195, Why am I starting the Epstein documentary when I should already be asleep 🥴 
trinityaja_, Thu Jun 11 08:40:18 +0000 2020, -98.540651, 29.417501, i’ve got issues but you’ve gottem too 
Theoddprophet, Thu Jun 11 08:40:18 +0000 2020, -97.754724, 30.323346, @furkyourwurk Those plushies are THE BEST, I have both of those ones! 
Cambria, Thu Jun 11 08:40:18 +0000 2020, -118.447840, 33.975245, @SA I legit can’t stop watching this 
macmol, Thu Jun 11 08:40:18 +0000 2020, -94.441663, 39.116501, I got one of those sleep deprived headaches 🤕 
ReckItRalf, Thu Jun 11 08:40:19 +0000 2020, -100.076888, 31.168893, Yo this anime going a little too hard right now like damn I need my sleep but I can’t stop watching 😤 
thenettayvette, Thu Jun 11 08:40:19 +0000 2020, -89.922029, 35.133521, Cobi gts😭 
RSPacker, Thu Jun 11 08:40:19 +0000 2020, -122.218075, 47.392311, First day at my new job easy af 
EmilyAspen, Thu Jun 11 08:40:20 +0000 2020, -118.411907, 34.020789, I just want to be good enough. I don’t want people to tell me I am. I finally need proof. 
KnightsLP7245, Thu Jun 11 08:40:20 +0000 2020, -81.380953, 27.251275, The Chosen | Official Trailer HD https://t.co/8EIrKCwx0u via @YouTube 
Jose_A_Santiago, Thu Jun 11 08:40:22 +0000 2020, -106.417430, 31.793368, @misty_gamblin https://t.co/le7RIBFzxl 
g00dnight_n_g0_, Thu Jun 11 08:40:22 +0000 2020, -100.293591, 25.641718, Aliades 😍😍😍👌👌👌👌💓💓 
idcccc_domi, Thu Jun 11 08:40:23 +0000 2020, -86.611411, 34.706027, @_kwandaDON Thank you my love 💕💕💕 
KelsiePSmith, Thu Jun 11 08:40:23 +0000 2020, -122.330602, 47.614817, @JoeJackson206 😂😂🙌🏻 
511NY, Thu Jun 11 08:40:23 +0000 2020, -74.455457, 40.556096, Updated: Incident on #I287 SB at South of Exit 7 - South Randolphville Rd https://t.co/z6UQDcuFnb 
SantiamSmith, Thu Jun 11 08:40:24 +0000 2020, -122.905525, 44.534596, Ex boyfriends are full of empty promises. I TOLD YOU SO. 
shannoncmallory, Thu Jun 11 08:40:24 +0000 2020, -122.433195, 45.510141, @mama_c2 @pinkdogwood770 Working on it☺ btw, happy birthday/retirement😁💕 
chriswhitruiz, Thu Jun 11 08:40:24 +0000 2020, -115.223125, 36.232915, I’m starting to learn to go hard each day alive, as if it’s my last day here. 
Miss_Wendybird, Thu Jun 11 08:40:25 +0000 2020, -118.411907, 34.020789, Those assholes wouldn’t kick me out they would keep roasting me cause they know it’s what I would have wanted. 
tess998, Thu Jun 11 08:40:26 +0000 2020, -75.770041, 42.746617, @alexsalvinews Oh no....so sad. Too bad it didn’t fall on ALL of them 
bow_bat, Thu Jun 11 08:40:26 +0000 2020, -118.408990, 34.006012, If you want to legally date me; you must watch Madoka Magica with me 
cacusc98, Thu Jun 11 08:40:26 +0000 2020, -71.103722, 42.395403, @TruckerGalJen https://t.co/XdeOOpgsDD 
d3m3triusj, Thu Jun 11 08:40:27 +0000 2020, -117.104989, 32.810012, @peaceandheal apparently lake piru is flamed up 😂 
JacobWa18545551, Thu Jun 11 08:40:28 +0000 2020, -122.228685, 37.791994, https://t.co/aGApEfLvyE 
marceizlyons_, Thu Jun 11 08:40:28 +0000 2020, -115.128846, 36.136412, But you will never catch me being immature about any situation in my life or being petty and thinking I’m cool for… https://t.co/6dsBF0F7S6 
KSadyLady, Thu Jun 11 08:40:28 +0000 2020, -95.446486, 29.838495, @willsommer So batshit crazy is the goal? Grrreaaaat! https://t.co/4FIWHqPt7j 
Moistpoundcake, Thu Jun 11 08:40:29 +0000 2020, -90.368933, 38.785832, @Bkprince6 Me 
peachpr1ncess, Thu Jun 11 08:40:29 +0000 2020, -122.085776, 37.641271, @josuenesis Mejor vete a dormir 
Princess_Monkey, Thu Jun 11 08:40:29 +0000 2020, -75.226986, 43.119680, I love hearing “fucccccccckkkk” 😭😭😭 like yeah nigga dis dat SPLAAAAAAA 
Same_Old_Chelle, Thu Jun 11 08:40:30 +0000 2020, -95.446486, 29.838495, Justice for Jamarion Robinson - Sign the Petition! https://t.co/ZgoiuP3cJX via @Change #BlackLivesMatter 
bb_alston, Thu Jun 11 08:40:30 +0000 2020, -81.244190, 33.985452, @BCMorrow Congrats! 
chaylove_, Thu Jun 11 08:40:30 +0000 2020, -96.961483, 32.863917, My favorite video on me atl days https://t.co/Su1upYow0K 
lilivnvxoo, Thu Jun 11 08:40:32 +0000 2020, -121.280423, 38.579524, Bitch, I'm off that dope 4real ! https://t.co/pDQt21pe8r 
aquariuschicken, Thu Jun 11 08:40:32 +0000 2020, -118.411907, 34.020789, Why do I have so many mutuals with this person who is blatantly ignoring the prevalence of strong statements by cis… https://t.co/SJuL0JOGT0 
