username, created_at, lng, lat, text
shaisoocole, Thu Jun 11 10:22:28 +0000 2020, -90.011008, 29.982601, Girl I’m so sleepy but not tired if that make since. 
markzimpelman11, Thu Jun 11 10:22:28 +0000 2020, -86.680738, 32.576227, @MinnesotaExpat @TomDoubting @Gram247 @emsops @VinceGottalotta @cubancafecito @hedge_app @SwampFox214… https://t.co/rdoPd2IZVu 
Electric_EMS, Thu Jun 11 10:22:28 +0000 2020, -71.278638, 42.299398, @atrupar FISH &amp; CHIPS! 
JeWohnWoodz, Thu Jun 11 10:22:28 +0000 2020, -84.515786, 33.846765, @__renzell Nope 
DjSkr8, Thu Jun 11 10:22:28 +0000 2020, -79.300889, 36.087839, @pro_worrier_ 😂😂😂😂😂 
HelloKellyS, Thu Jun 11 10:22:28 +0000 2020, -75.141749, 40.697302, @kriscornell56 https://t.co/0GWiq7QLF8 
trash_bandic0ot, Thu Jun 11 10:22:28 +0000 2020, -87.732013, 41.833585, If you can find this in the budget on a whim, why not ALSO #DEFUNDCPD and further reinvest in our communities??? 
thatbiiitchxx, Thu Jun 11 10:22:29 +0000 2020, -73.948775, 40.655138, It already is in my eyes 
IndyExecFBO, Thu Jun 11 10:22:29 +0000 2020, -85.978600, 35.830522, @AuschwitzMuseum 🙏 
Monica11Young, Thu Jun 11 10:22:29 +0000 2020, -79.684101, 39.473410, Realizing that it’s not ur looks as to why u can’t keep a man, but your shitty personality 🙃 
BritaniiDiamond, Thu Jun 11 10:22:30 +0000 2020, -73.866900, 40.850000, #tbt🖤 @ Bronx, New York https://t.co/UoisOR8UHf 
JL_54, Thu Jun 11 10:22:30 +0000 2020, -76.853724, 38.961552, @SirMikeH Robinhood yes. I like it 
ChristiAnne67, Thu Jun 11 10:22:30 +0000 2020, -77.604684, 41.117936, @SuperDuperSJW A bunch of racist assholes 
FrappMocha, Thu Jun 11 10:22:30 +0000 2020, -79.272570, 43.629311, Just too damn bad we didn't get to see if he landed successfully.... or not. 
columbiaphotos, Thu Jun 11 10:22:30 +0000 2020, -81.248786, 42.948841, The COVID-19 pandemic has created issues for the wedding industry. To help my clients I will allow all 2021/2022 we… https://t.co/kmYN8B59I8 
shawnblk, Thu Jun 11 10:22:30 +0000 2020, -73.968542, 40.780709, @Themalcus @RubinReport @benshapiro You don't know your history 
LRD01156596, Thu Jun 11 10:22:31 +0000 2020, -122.330602, 47.614817, 💜🥳💜 https://t.co/5AzezQLkS4 
CandaceMcCowan7, Thu Jun 11 10:22:31 +0000 2020, -72.876826, 40.794681, Happy Birthday @wallerABC7!!!! https://t.co/PqzZ8CUYvG 
DostStephen, Thu Jun 11 10:22:31 +0000 2020, -73.022108, 41.566578, .@tplohetski As the owner of a production company, I can assure you that NO production company EVER destroys footag… https://t.co/eu4VmWvWOD 
Azkaban, Thu Jun 11 10:22:31 +0000 2020, -82.669467, 40.365160, @robportman when are you going to do something? 
thebullcityNC, Thu Jun 11 10:22:31 +0000 2020, -78.634900, 35.778100, Shop local candles online!! ❤️ Free North Carolina shipping on everything ➡️ https://t.co/UTgSTML26R @ Raleigh, Nor… https://t.co/QLamXQhimA 
NextStepEnglish, Thu Jun 11 10:22:32 +0000 2020, -77.425155, 38.878708, ✨ EXORCIST = sb who tries to remove an evil spirit from a person/place👻 POSSESSED = (of a person) completely cont… https://t.co/tIwhzMSKMg 
sunnkissedhoney, Thu Jun 11 10:22:32 +0000 2020, -121.873730, 37.331159, @130fucks Ah thank you! You’re appreciated lovely 😊 
deedispeaking, Thu Jun 11 10:22:32 +0000 2020, -74.066663, 40.718001, @OutofPrintTees I’m here for this sentiment! but wondering if she earns a portion of proceeds from the merch? 
HotBoyMatt1, Thu Jun 11 10:22:33 +0000 2020, -77.014398, 38.898603, Why was there even......... you know what? I just can't. 
AllenPrewitt, Thu Jun 11 10:22:33 +0000 2020, -82.573675, 27.473975, @patriciaeve11 Yes 
LauraDo01745421, Thu Jun 11 10:22:34 +0000 2020, -85.768241, 37.822244, @minhtngo He is such an idiots 
mhbower3, Thu Jun 11 10:22:34 +0000 2020, -72.547632, 41.686789, @beardyderp I wanna know what the guy vaping behind him is thinking. 
MaryashleyH, Thu Jun 11 10:22:34 +0000 2020, -93.123789, 37.271245, "Why, just a couple of the Boys funning round, abroad, getting to know people.  Yes that's how we Democrats are"!… https://t.co/3Mi5TOhU1x 
5386_478, Thu Jun 11 10:22:34 +0000 2020, -83.173867, 32.678207, @RyherdPhyllis Very interesting ! 
coachpapas1, Thu Jun 11 10:22:34 +0000 2020, -80.149173, 26.150368, Great way to start the day 
MargaretFenwic8, Thu Jun 11 10:22:35 +0000 2020, -82.306723, 27.827367, THIS!! 👇👇👇 
BQOconomowoc, Thu Jun 11 10:22:35 +0000 2020, -88.543871, 43.129465, Need a #DanceOff @bruter24 
1Kimaeiyong, Thu Jun 11 10:22:36 +0000 2020, -79.002112, 35.054627, @slabaybay You never seen any of his movies either? 
Michael22981746, Thu Jun 11 10:22:36 +0000 2020, -82.331475, 34.938968, Hmmmm, is Pillowfort for me? 
deekevin56_m, Thu Jun 11 10:22:36 +0000 2020, -73.948775, 40.655138, @theochino @assemblymanalt1 Landlord didn't buy me out. I didnt inherit my parents rent controlled apt. I left to t… https://t.co/mOv5wzXU1R 
cadegrube2, Thu Jun 11 10:22:36 +0000 2020, -97.900280, 36.392280, @fahimanwar ... shit... 
Obeiidd, Thu Jun 11 10:22:37 +0000 2020, -93.999285, 44.165140, نفسي احب وحده قصيره 
RebeMccarthy, Thu Jun 11 10:22:38 +0000 2020, -83.173867, 32.678207, @SenateGOP @HouseGOP 
joy2teachem, Thu Jun 11 10:22:39 +0000 2020, -83.173867, 32.678207, That's so wonderful! Big Congrats!!😊📕 
XaocMupa, Thu Jun 11 10:22:39 +0000 2020, -73.584266, 40.648987, @KotNavigator @WolfCrimean @3i8T6nxKBnFOfH9 @epaminonthebes @dw_russian Ты очень смешной ватник. И очень тупой. 😆 
butchabernathy1, Thu Jun 11 10:22:40 +0000 2020, -83.542508, 34.564940, @SenSchumer Way to go republicans object everything the democrats propose 
511NY, Thu Jun 11 10:22:41 +0000 2020, -74.183031, 40.866458, Cleared: Construction on #NJ3 Both directions from Grove St to NJ 17 
JamarionDarough, Thu Jun 11 10:22:41 +0000 2020, -90.178695, 38.565773, 🤍🤍 
VinodMathew20, Thu Jun 11 10:22:41 +0000 2020, -81.248786, 42.948841, @CrunchyConserv3 @DGPurser Please, don't hurt a "Peaceful Protestor". They have the right to destroy America. 
511NY, Thu Jun 11 10:22:41 +0000 2020, -79.052721, 42.590674, Updated: Construction on #I90NYSThruway WB from Before Exit 58 (I-90) - Silver Creek (Rte 438) to Before Exit 58 (I… https://t.co/fqGek04V6V 
511NY, Thu Jun 11 10:22:41 +0000 2020, -74.152433, 41.271617, Incident on #I87NYSThruway SB from Before Exit 16 (I-87) - Harriman (Rte 17N - US6) to Exit 15A (I-87) - Suffern (R… https://t.co/Q6BKWQp7eV 
511NYMidHudson, Thu Jun 11 10:22:41 +0000 2020, -74.152433, 41.271617, Incident on #I87NYSThruway SB from Before Exit 16 (I-87) - Harriman (Rte 17N - US6) to Exit 15A (I-87) - Suffern (R… https://t.co/YoZefG2R9N 
511NYMidHudson, Thu Jun 11 10:22:41 +0000 2020, -74.068209, 41.462726, Updated: Construction on #I87NYSThruway NB from Before Exit 17 (I-87) - Newburgh (I-84 - Rte 17K) to Before Exit 17… https://t.co/JBAPu5rRX4 
511nyWNY, Thu Jun 11 10:22:41 +0000 2020, -79.052721, 42.590674, Updated: Construction on #I90NYSThruway WB from Before Exit 58 (I-90) - Silver Creek (Rte 438) to Before Exit 58 (I… https://t.co/8NrgiuNFNA 
